#,query_id,claim_id,claim_text,evidence_text,label_A,notes_A,label_B,notes_B,label_C,notes_C,consensus
164,p17,p17_c16,"Conversely, for applications where readability and engagement are prioritized, such as news articles or social media content, abstractive methods may be more suitable despite their potential for inaccuracies .","Across all fields of academic study, experts cite their sources when sharing information. While large language models (LLMs) excel at synthesizing information, they do not provide reliable citation to sources, making it difficult to trace and verify the origins of the information they present. In contrast, search engines make sources readily accessible to users and place the burden of synthesizing information on the user. Through a survey, we find that users prefer search engines over LLMs for high-stakes queries, where concerns regarding information provenance outweigh the perceived utility of LLM responses. To examine the interplay between verifiability and utility of information-sharing tools, we introduce the extractive-abstractive spectrum, in which search engines and LLMs are extreme endpoints encapsulating multiple unexplored intermediate operating points. Search engines are extra … [truncated]",unsupported,Evidence does not state this specific point.,unsupported,Evidence too broad or partial,unsupported,Evidence is too broad or on a different point.,unsupported
165,p17,p17_c17,"Reportedly, Additionally, hybrid models that combine both approaches are emerging, aiming to leverage the strengths of each while mitigating their weaknesses .","Throughout the big-data revolution, huge amounts of text are produced by the second in areas like journalism, law and scientific communication. This explosive popularity has in turn emphasized the need for an efficient summarization system to condense long textual data into short and information-packed summations. Classical summarization systems, whether abstractive or extractive, tend to be challenged in having to trade off relevance of segmentation and coherence with dependability as well as consistency in the extraction when it comes to more challenging theoretical works with many topics and intricate relationships between sentences. Although models such as PEGASUS, which is based on Transformer architecture, have achieved remarkable performance in abstractive summarization through utilizing large-scale pretraining and attention mechanisms, they still treat input text as sequence of w … [truncated]",unsupported,Evidence does not state this specific point.,unsupported,Evidence too broad or partial,unsupported,Evidence is too broad or on a different point.,unsupported
150,p17,p17_c2,"It is suggested that the primary trade-offs between these two approaches involve **informativeness**, **cohesion**, and **faithfulness** to the original text.","The project aims to compare the performance be-tween Google T5 and SpaCy for YouTube video textual summarization based on the ROUGE score. The project utilizes two distinct techniques: abstractive summarization using Google T5 and extractive summarization using SpaCy. The CNN/DailyMail dataset serves as the primary data source for training the model and the YouTube video description sections are used for evaluating the results. The project evaluates the effectiveness of each technique separately. The strengths and weaknesses of abstractive and extractive summarization approaches are discussed, providing valuable insights into their respective trade-offs and applicability for YouTube news video summarization. From the observations, it is found that Google T5 outperforms SpaCy every single time. The overall ROUGE-1 score for Google T5 is found to be 0.339 while the SpaCy scored 0.232. The  … [truncated]",supported,Directly stated or clear paraphrase of the snippet.,supported,,unsupported,Claim adds details not clearly stated.,supported
151,p17,p17_c3,"According to the retrieved evidence, ### Key Explanation **Extractive summarization** tends to produce summaries that are more faithful to the source material because it directly uses the original sentences, which minimizes the risk of introducing inaccuracies.","Across all fields of academic study, experts cite their sources when sharing information. While large language models (LLMs) excel at synthesizing information, they do not provide reliable citation to sources, making it difficult to trace and verify the origins of the information they present. In contrast, search engines make sources readily accessible to users and place the burden of synthesizing information on the user. Through a survey, we find that users prefer search engines over LLMs for high-stakes queries, where concerns regarding information provenance outweigh the perceived utility of LLM responses. To examine the interplay between verifiability and utility of information-sharing tools, we introduce the extractive-abstractive spectrum, in which search engines and LLMs are extreme endpoints encapsulating multiple unexplored intermediate operating points. Search engines are extra … [truncated]",unsupported,Evidence does not state this specific point.,unsupported,Evidence too broad or partial,unsupported,Evidence does not show this specific source/title.,unsupported
152,p17,p17_c4,"However, this method often results in summaries that lack cohesion and can contain redundant information, as it may select multiple sentences that convey similar points without synthesizing them into a coherent narrative .","Extractive summaries are usually presented as lists of sentences with no expected cohesion between them and with plenty of redundant information if not accounted for. In this paper, we investigate the trade-offs incurred when aiming to control for inter-sentential cohesion and redundancy in extracted summaries, and their impact on their informativeness. As case study, we focus on the summarization of long, highly redundant documents and consider two optimization scenarios, reward-guided and with no supervision. In the reward-guided scenario, we compare systems that control for redundancy and cohesiveness during sentence scoring. In the unsupervised scenario, we introduce two systems that aim to control all three properties --informativeness, redundancy, and cohesiveness-- in a principled way. Both systems implement a psycholinguistic theory that simulates how humans keep track of relevan … [truncated]",supported,Directly stated or clear paraphrase of the snippet.,unsupported,Evidence too broad or partial,unsupported,Claim adds details not clearly stated.,unsupported
153,p17,p17_c5,"Reportedly, For instance, when summarizing long documents, extractive methods can struggle with organizing content effectively, leading to a disjointed reading experience .","Extractive summaries are usually presented as lists of sentences with no expected cohesion between them and with plenty of redundant information if not accounted for. In this paper, we investigate the trade-offs incurred when aiming to control for inter-sentential cohesion and redundancy in extracted summaries, and their impact on their informativeness. As case study, we focus on the summarization of long, highly redundant documents and consider two optimization scenarios, reward-guided and with no supervision. In the reward-guided scenario, we compare systems that control for redundancy and cohesiveness during sentence scoring. In the unsupervised scenario, we introduce two systems that aim to control all three properties --informativeness, redundancy, and cohesiveness-- in a principled way. Both systems implement a psycholinguistic theory that simulates how humans keep track of relevan … [truncated]",supported,Directly stated or clear paraphrase of the snippet.,unsupported,Evidence too broad or partial,unsupported,Claim adds details not clearly stated.,unsupported
154,p17,p17_c6,"It is suggested that In contrast, **abstractive summarization** has the advantage of generating more coherent and concise summaries by rephrasing and synthesizing information.","Extractive summaries are usually presented as lists of sentences with no expected cohesion between them and with plenty of redundant information if not accounted for. In this paper, we investigate the trade-offs incurred when aiming to control for inter-sentential cohesion and redundancy in extracted summaries, and their impact on their informativeness. As case study, we focus on the summarization of long, highly redundant documents and consider two optimization scenarios, reward-guided and with no supervision. In the reward-guided scenario, we compare systems that control for redundancy and cohesiveness during sentence scoring. In the unsupervised scenario, we introduce two systems that aim to control all three properties --informativeness, redundancy, and cohesiveness-- in a principled way. Both systems implement a psycholinguistic theory that simulates how humans keep track of relevan … [truncated]",unsupported,Evidence does not state this specific point.,unsupported,Evidence too broad or partial,unsupported,Claim adds details not clearly stated.,unsupported
155,p17,p17_c7,"According to the retrieved evidence, this approach can improve the overall readability and flow of the summary, making it more engaging for the reader .","Despite recent progress in abstractive summarization, systems still suffer from faithfulness errors. While prior work has proposed models that improve faithfulness, it is unclear whether the improvement comes from an increased level of extractiveness of the model outputs as one naive way to improve faithfulness is to make summarization models more extractive. In this work, we present a framework for evaluating the effective faithfulness of summarization systems, by generating a faithfulnessabstractiveness trade-off curve that serves as a control at different operating points on the abstractiveness spectrum. We then show that the Maximum Likelihood Estimation (MLE) baseline as well as a recently proposed method for improving faithfulness, are both worse than the control at the same level of abstractiveness. Finally, we learn a selector to identify the most faithful and abstractive summary … [truncated]",unsupported,Evidence does not state this specific point.,unsupported,Evidence too broad or partial,unsupported,Claim adds details not clearly stated.,unsupported
156,p17,p17_c8,"Some sources indicate that However, it comes with the challenge of ensuring **faithfulness** to the original content.","Throughout the big-data revolution, huge amounts of text are produced by the second in areas like journalism, law and scientific communication. This explosive popularity has in turn emphasized the need for an efficient summarization system to condense long textual data into short and information-packed summations. Classical summarization systems, whether abstractive or extractive, tend to be challenged in having to trade off relevance of segmentation and coherence with dependability as well as consistency in the extraction when it comes to more challenging theoretical works with many topics and intricate relationships between sentences. Although models such as PEGASUS, which is based on Transformer architecture, have achieved remarkable performance in abstractive summarization through utilizing large-scale pretraining and attention mechanisms, they still treat input text as sequence of w … [truncated]",supported,Directly stated or clear paraphrase of the snippet.,unsupported,Evidence too broad or partial,unsupported,Evidence does not show this specific source/title.,unsupported
157,p17,p17_c9,"Abstractive models may inadvertently introduce errors or misrepresent the source material, as they rely on the model's understanding and generation capabilities rather than directly quoting the text .","Throughout the big-data revolution, huge amounts of text are produced by the second in areas like journalism, law and scientific communication. This explosive popularity has in turn emphasized the need for an efficient summarization system to condense long textual data into short and information-packed summations. Classical summarization systems, whether abstractive or extractive, tend to be challenged in having to trade off relevance of segmentation and coherence with dependability as well as consistency in the extraction when it comes to more challenging theoretical works with many topics and intricate relationships between sentences. Although models such as PEGASUS, which is based on Transformer architecture, have achieved remarkable performance in abstractive summarization through utilizing large-scale pretraining and attention mechanisms, they still treat input text as sequence of w … [truncated]",supported,Directly stated or clear paraphrase of the snippet.,unsupported,Evidence too broad or partial,unsupported,Evidence does not show this specific source/title.,unsupported
166,p18,p18_c1,"Reportedly, ## Detection and Mitigation of Hallucinations in Neural Summarization Hallucinations in neural summarization refer to the generation of content that is not grounded in the source material, leading to inaccuracies in the output.","Neural sequence models can generate highly fluent sentences but recent studies have also shown that they are also prone to hallucinate additional content not supported by the input, which can cause a lack of trust in the model. To better assess the faithfulness of the machine outputs, we propose a new task to predict whether each token in the output sequence is hallucinated conditioned on the source input, and collect new manually annotated evaluation sets for this task. We also introduce a novel method for learning to model hallucination detection, based on pretrained language models fine tuned on synthetic data that includes automatically inserted hallucinations. Experiments on machine translation and abstract text summarization demonstrate the effectiveness of our proposed approach -- we obtain an average F1 of around 0.6 across all the benchmark datasets and achieve significant impro … [truncated]",supported,Directly stated or clear paraphrase of the snippet.,supported,,supported,Claim matches the evidence.,supported
175,p18,p18_c10,"It is suggested that Additionally, the **FactCheckmate** approach preemptively detects potential hallucinations by analyzing the internal representations of the model before output generation, allowing for adjustments that enhance factual accuracy .","Abstractive summarization aims at generating natural language summaries of a source document that are succinct while preserving the important elements. Despite recent advances, neural text summarization models are known to be susceptible to hallucinating (or more correctly confabulating), that is to produce summaries with details that are not grounded in the source document. In this paper, we introduce a simple yet efficient technique, CoBa, to reduce hallucination in abstractive summarization. The approach is based on two steps: hallucination detection and mitigation. We show that the former can be achieved through measuring simple statistics about conditional word probabilities and distance to context words. Further, we demonstrate that straight-forward backtracking is surprisingly effective at mitigation. We thoroughly evaluate the proposed method with prior art on three benchmark dat … [truncated]",unsupported,Evidence does not state this specific point.,unsupported,Evidence too broad or partial,unsupported,Evidence is too broad or on a different point.,unsupported
176,p18,p18_c11,This proactive strategy has been found to improve the factuality of outputs significantly.,"Language models (LMs) hallucinate. We inquire: Can we detect and mitigate hallucinations before they happen? This work answers this research question in the positive, by showing that the internal representations of LMs provide rich signals that can be used for this purpose. We introduce FactCheckmate, which preemptively detects hallucinations by learning a classifier that predicts whether the LM will hallucinate, based on the model's hidden states produced over the inputs, before decoding begins. If a hallucination is detected, FactCheckmate then intervenes by adjusting the LM's hidden states such that the model will produce more factual outputs. FactCheckmate provides fresh insights that the inner workings of LMs can be revealed by their hidden states. Practically, both its detection and mitigation models are lightweight, adding little inference overhead; FactCheckmate proves a more eff … [truncated]",supported,Directly stated or clear paraphrase of the snippet.,unsupported,Evidence too broad or partial,unsupported,Evidence is too broad or on a different point.,unsupported
177,p18,p18_c12,Some sources indicate that ### Supporting Detail 1.,"Neural sequence models can generate highly fluent sentences but recent studies have also shown that they are also prone to hallucinate additional content not supported by the input, which can cause a lack of trust in the model. To better assess the faithfulness of the machine outputs, we propose a new task to predict whether each token in the output sequence is hallucinated conditioned on the source input, and collect new manually annotated evaluation sets for this task. We also introduce a novel method for learning to model hallucination detection, based on pretrained language models fine tuned on synthetic data that includes automatically inserted hallucinations. Experiments on machine translation and abstract text summarization demonstrate the effectiveness of our proposed approach -- we obtain an average F1 of around 0.6 across all the benchmark datasets and achieve significant impro … [truncated]",unsupported,Evidence does not state this specific point.,unsupported,Evidence too broad or partial,unsupported,Evidence does not show this specific source/title.,unsupported
178,p18,p18_c13,"Reportedly, **Detection Techniques**: - **NLI-based preprocessing**: Ensures that training datasets are less prone to hallucinations by aligning outputs with inputs .","Language models (LMs) hallucinate. We inquire: Can we detect and mitigate hallucinations before they happen? This work answers this research question in the positive, by showing that the internal representations of LMs provide rich signals that can be used for this purpose. We introduce FactCheckmate, which preemptively detects hallucinations by learning a classifier that predicts whether the LM will hallucinate, based on the model's hidden states produced over the inputs, before decoding begins. If a hallucination is detected, FactCheckmate then intervenes by adjusting the LM's hidden states such that the model will produce more factual outputs. FactCheckmate provides fresh insights that the inner workings of LMs can be revealed by their hidden states. Practically, both its detection and mitigation models are lightweight, adding little inference overhead; FactCheckmate proves a more eff … [truncated]",unsupported,Evidence does not state this specific point.,supported,,unsupported,Claim adds details not clearly stated.,unsupported
179,p18,p18_c14,It is suggested that - **Lookback Lens**: Uses attention ratios to identify when a model is generating unsubstantiated content .,"Hallucinations in text generation occur when the system produces text that is not grounded in the input. In this work, we tackle the problem of hallucinations in neural chart summarization. Our analysis shows that the target side of chart summarization training datasets often contains additional information, leading to hallucinations. We propose a natural language inference (NLI) based method to preprocess the training data and show through human evaluation that our method significantly reduces hallucinations. We also found that shortening long-distance dependencies in the input sequence and adding chart-related information like title and legends improves the overall performance.",unsupported,Evidence does not state this specific point.,unsupported,Evidence too broad or partial,unsupported,Evidence is too broad or on a different point.,unsupported
180,p18,p18_c15,"According to the retrieved evidence, - **Model introspection**: Analyzes token contributions to distinguish between hallucinated and non-hallucinated outputs .","When asked to summarize articles or answer questions given a passage, large language models (LLMs) can hallucinate details and respond with unsubstantiated answers that are inaccurate with respect to the input context. This paper describes a simple approach for detecting such **contextual hallucinations**. We hypothesize that contextual hallucinations are related to the extent to which an LLM attends to information in the provided context versus its own generations. Based on this intuition, we propose a simple hallucination detection model whose input features are given by the ratio of attention weights on the context versus newly generated tokens (for each attention head). We find that a linear classifier based on these _lookback ratio_ features is as effective as a richer detector that utilizes the entire hidden states of an LLM or a text-based entailment model. The lookback ratio-base … [truncated]",unsupported,Evidence does not state this specific point.,unsupported,Evidence too broad or partial,unsupported,Evidence is too broad or on a different point.,unsupported
181,p18,p18_c16,Some sources indicate that 2.,"Neural sequence generation models are known to “hallucinate”, by producing outputs that are unrelated to the source text. These hallucinations are potentially harmful, yet it remains unclear in what conditions they arise and how to mitigate their impact. In this work, we first identify internal model symptoms of hallucinations by analyzing the relative token contributions to the generation in contrastive hallucinated vs. non-hallucinated outputs generated via source perturbations. We then show that these symptoms are reliable indicators of natural hallucinations, by using them to design a lightweight hallucination detector which outperforms both model-free baselines and strong classifiers based on quality estimation or large pre-trained models on manually annotated English-Chinese and German-English translation test beds.",unsupported,Incomplete list item.,unsupported,Incomplete claim,unsupported,Claim is just a fragment.,unsupported
182,p18,p18_c17,"Reportedly, **Mitigation Techniques**: - **Backtracking**: Revisits generated content to correct inaccuracies based on contextual cues .","Abstractive summarization aims at generating natural language summaries of a source document that are succinct while preserving the important elements. Despite recent advances, neural text summarization models are known to be susceptible to hallucinating (or more correctly confabulating), that is to produce summaries with details that are not grounded in the source document. In this paper, we introduce a simple yet efficient technique, CoBa, to reduce hallucination in abstractive summarization. The approach is based on two steps: hallucination detection and mitigation. We show that the former can be achieved through measuring simple statistics about conditional word probabilities and distance to context words. Further, we demonstrate that straight-forward backtracking is surprisingly effective at mitigation. We thoroughly evaluate the proposed method with prior art on three benchmark dat … [truncated]",supported,Directly stated or clear paraphrase of the snippet.,unsupported,Evidence too broad or partial,unsupported,Claim adds details not clearly stated.,unsupported
183,p18,p18_c18,It is suggested that - **FactCheckmate**: Adjusts hidden states of the model to produce more factual outputs before decoding begins .,"Abstractive summarization aims at generating natural language summaries of a source document that are succinct while preserving the important elements. Despite recent advances, neural text summarization models are known to be susceptible to hallucinating (or more correctly confabulating), that is to produce summaries with details that are not grounded in the source document. In this paper, we introduce a simple yet efficient technique, CoBa, to reduce hallucination in abstractive summarization. The approach is based on two steps: hallucination detection and mitigation. We show that the former can be achieved through measuring simple statistics about conditional word probabilities and distance to context words. Further, we demonstrate that straight-forward backtracking is surprisingly effective at mitigation. We thoroughly evaluate the proposed method with prior art on three benchmark dat … [truncated]",unsupported,Evidence does not state this specific point.,unsupported,Evidence too broad or partial,unsupported,Evidence is too broad or on a different point.,unsupported
184,p18,p18_c19,"According to the retrieved evidence, ### Nuances or Caveats While these detection and mitigation strategies show promise, their effectiveness can vary based on the complexity of the input data and the specific architecture of the neural summarization model used.","Language models (LMs) hallucinate. We inquire: Can we detect and mitigate hallucinations before they happen? This work answers this research question in the positive, by showing that the internal representations of LMs provide rich signals that can be used for this purpose. We introduce FactCheckmate, which preemptively detects hallucinations by learning a classifier that predicts whether the LM will hallucinate, based on the model's hidden states produced over the inputs, before decoding begins. If a hallucination is detected, FactCheckmate then intervenes by adjusting the LM's hidden states such that the model will produce more factual outputs. FactCheckmate provides fresh insights that the inner workings of LMs can be revealed by their hidden states. Practically, both its detection and mitigation models are lightweight, adding little inference overhead; FactCheckmate proves a more eff … [truncated]",unsupported,Evidence does not state this specific point.,unsupported,Caveat not explicit,unsupported,Claim adds details not clearly stated.,unsupported
167,p18,p18_c2,It is suggested that detection and mitigation strategies include using specialized models to identify hallucinations and employing techniques to correct or reduce their occurrence during the summarization process .,"Neural sequence models can generate highly fluent sentences but recent studies have also shown that they are also prone to hallucinate additional content not supported by the input, which can cause a lack of trust in the model. To better assess the faithfulness of the machine outputs, we propose a new task to predict whether each token in the output sequence is hallucinated conditioned on the source input, and collect new manually annotated evaluation sets for this task. We also introduce a novel method for learning to model hallucination detection, based on pretrained language models fine tuned on synthetic data that includes automatically inserted hallucinations. Experiments on machine translation and abstract text summarization demonstrate the effectiveness of our proposed approach -- we obtain an average F1 of around 0.6 across all the benchmark datasets and achieve significant impro … [truncated]",supported,Directly stated or clear paraphrase of the snippet.,unsupported,Evidence too broad or partial,unsupported,Claim adds details not clearly stated.,unsupported
185,p18,p18_c20,"Additionally, while proactive methods like FactCheckmate can improve factual accuracy, they may introduce computational overhead, which could be a consideration in resource-constrained environments.","Language models (LMs) hallucinate. We inquire: Can we detect and mitigate hallucinations before they happen? This work answers this research question in the positive, by showing that the internal representations of LMs provide rich signals that can be used for this purpose. We introduce FactCheckmate, which preemptively detects hallucinations by learning a classifier that predicts whether the LM will hallucinate, based on the model's hidden states produced over the inputs, before decoding begins. If a hallucination is detected, FactCheckmate then intervenes by adjusting the LM's hidden states such that the model will produce more factual outputs. FactCheckmate provides fresh insights that the inner workings of LMs can be revealed by their hidden states. Practically, both its detection and mitigation models are lightweight, adding little inference overhead; FactCheckmate proves a more eff … [truncated]",unsupported,Evidence does not state this specific point.,unsupported,Evidence too broad or partial,unsupported,Evidence does not show this specific source/title.,unsupported
168,p18,p18_c3,### Key Explanation **Hallucination detection** involves identifying when generated content deviates from the source input.,"Hallucinations in text generation occur when the system produces text that is not grounded in the input. In this work, we tackle the problem of hallucinations in neural chart summarization. Our analysis shows that the target side of chart summarization training datasets often contains additional information, leading to hallucinations. We propose a natural language inference (NLI) based method to preprocess the training data and show through human evaluation that our method significantly reduces hallucinations. We also found that shortening long-distance dependencies in the input sequence and adding chart-related information like title and legends improves the overall performance.",supported,Directly stated or clear paraphrase of the snippet.,unsupported,Evidence too broad or partial,unsupported,Evidence does not show this specific source/title.,unsupported
169,p18,p18_c4,Some sources indicate that recent studies have proposed various methods for this purpose.,"Neural sequence models can generate highly fluent sentences but recent studies have also shown that they are also prone to hallucinate additional content not supported by the input, which can cause a lack of trust in the model. To better assess the faithfulness of the machine outputs, we propose a new task to predict whether each token in the output sequence is hallucinated conditioned on the source input, and collect new manually annotated evaluation sets for this task. We also introduce a novel method for learning to model hallucination detection, based on pretrained language models fine tuned on synthetic data that includes automatically inserted hallucinations. Experiments on machine translation and abstract text summarization demonstrate the effectiveness of our proposed approach -- we obtain an average F1 of around 0.6 across all the benchmark datasets and achieve significant impro … [truncated]",supported,Directly stated or clear paraphrase of the snippet.,supported,,unsupported,Evidence does not show this specific source/title.,supported
170,p18,p18_c5,"Reportedly, for instance, one approach utilizes a **natural language inference (NLI)** framework to preprocess training data, which has been shown to significantly reduce hallucinations by ensuring that the target outputs are more closely aligned with the source material .","Neural sequence models can generate highly fluent sentences but recent studies have also shown that they are also prone to hallucinate additional content not supported by the input, which can cause a lack of trust in the model. To better assess the faithfulness of the machine outputs, we propose a new task to predict whether each token in the output sequence is hallucinated conditioned on the source input, and collect new manually annotated evaluation sets for this task. We also introduce a novel method for learning to model hallucination detection, based on pretrained language models fine tuned on synthetic data that includes automatically inserted hallucinations. Experiments on machine translation and abstract text summarization demonstrate the effectiveness of our proposed approach -- we obtain an average F1 of around 0.6 across all the benchmark datasets and achieve significant impro … [truncated]",unsupported,Evidence does not state this specific point.,unsupported,Evidence too broad or partial,unsupported,Evidence does not show this specific source/title.,unsupported
171,p18,p18_c6,"It is suggested that Another method, known as **Lookback Lens**, leverages attention maps from large language models (LLMs) to detect contextual hallucinations by analyzing the ratio of attention weights on the context versus newly generated tokens.","Hallucinations in text generation occur when the system produces text that is not grounded in the input. In this work, we tackle the problem of hallucinations in neural chart summarization. Our analysis shows that the target side of chart summarization training datasets often contains additional information, leading to hallucinations. We propose a natural language inference (NLI) based method to preprocess the training data and show through human evaluation that our method significantly reduces hallucinations. We also found that shortening long-distance dependencies in the input sequence and adding chart-related information like title and legends improves the overall performance.",unsupported,Evidence does not state this specific point.,unsupported,Evidence too broad or partial,unsupported,Evidence is too broad or on a different point.,unsupported
172,p18,p18_c7,"According to the retrieved evidence, this method has demonstrated effectiveness across different tasks and models, indicating its robustness .","Language models (LMs) hallucinate. We inquire: Can we detect and mitigate hallucinations before they happen? This work answers this research question in the positive, by showing that the internal representations of LMs provide rich signals that can be used for this purpose. We introduce FactCheckmate, which preemptively detects hallucinations by learning a classifier that predicts whether the LM will hallucinate, based on the model's hidden states produced over the inputs, before decoding begins. If a hallucination is detected, FactCheckmate then intervenes by adjusting the LM's hidden states such that the model will produce more factual outputs. FactCheckmate provides fresh insights that the inner workings of LMs can be revealed by their hidden states. Practically, both its detection and mitigation models are lightweight, adding little inference overhead; FactCheckmate proves a more eff … [truncated]",supported,Directly stated or clear paraphrase of the snippet.,unsupported,Evidence too broad or partial,unsupported,Evidence is too broad or on a different point.,unsupported
173,p18,p18_c8,Some sources indicate that **Mitigation strategies** are equally important and can be implemented after detection.,"When asked to summarize articles or answer questions given a passage, large language models (LLMs) can hallucinate details and respond with unsubstantiated answers that are inaccurate with respect to the input context. This paper describes a simple approach for detecting such **contextual hallucinations**. We hypothesize that contextual hallucinations are related to the extent to which an LLM attends to information in the provided context versus its own generations. Based on this intuition, we propose a simple hallucination detection model whose input features are given by the ratio of attention weights on the context versus newly generated tokens (for each attention head). We find that a linear classifier based on these _lookback ratio_ features is as effective as a richer detector that utilizes the entire hidden states of an LLM or a text-based entailment model. The lookback ratio-base … [truncated]",unsupported,Evidence does not state this specific point.,unsupported,Evidence too broad or partial,unsupported,Evidence does not show this specific source/title.,unsupported
174,p18,p18_c9,"Reportedly, techniques such as **backtracking** have been shown to effectively reduce hallucinations by revisiting and correcting generated outputs based on their contextual relevance .","Abstractive summarization aims at generating natural language summaries of a source document that are succinct while preserving the important elements. Despite recent advances, neural text summarization models are known to be susceptible to hallucinating (or more correctly confabulating), that is to produce summaries with details that are not grounded in the source document. In this paper, we introduce a simple yet efficient technique, CoBa, to reduce hallucination in abstractive summarization. The approach is based on two steps: hallucination detection and mitigation. We show that the former can be achieved through measuring simple statistics about conditional word probabilities and distance to context words. Further, we demonstrate that straight-forward backtracking is surprisingly effective at mitigation. We thoroughly evaluate the proposed method with prior art on three benchmark dat … [truncated]",supported,Directly stated or clear paraphrase of the snippet.,unsupported,Evidence too broad or partial,unsupported,Evidence is too broad or on a different point.,unsupported
186,p19,p19_c1,"Reportedly, **Answer**: ""Prompt injection attacks are a significant threat where malicious instructions embedded within external data sources can manipulate agents to deviate from user intentions"" .","Large Language Model (LLM) agents are increasingly being deployed as conversational assistants capable of performing complex real-world tasks through tool integration. This enhanced ability to interact with external systems and process various data sources, while powerful, introduces significant security vulnerabilities. In particular, indirect prompt injection attacks pose a critical threat, where malicious instructions embedded within external data sources can manipulate agents to deviate from user intentions. While existing defenses based on rule constraints, source spotlighting, and authentication protocols show promise, they struggle to maintain robust security while preserving task functionality. We propose a novel and orthogonal perspective that reframes agent security from preventing harmful actions to ensuring task alignment, requiring every agent action to serve user objectives … [truncated]",supported,Directly stated or clear paraphrase of the snippet.,supported,,supported,Evidence includes the cited source/title.,supported
195,p19,p19_c10,It is suggested that 5.,"Recent advances in Large Language Models (LLMs) enable exciting LLM-integrated applications, which perform text-based tasks by utilizing their advanced language understanding capabilities. However, as LLMs have improved, so have the attacks against them. Prompt injection attacks are an important threat: they trick the model into deviating from the original application's instructions and instead follow user directives. These attacks rely on the LLM's ability to follow instructions and inability to separate prompts and user data. We introduce structured queries, a general approach to tackle this problem. Structured queries separate prompts and data into two channels. We implement a system that supports structured queries. This system is made of (1) a secure front-end that formats a prompt and user data into a special format, and (2) a specially trained LLM that can produce high-quality out … [truncated]",unsupported,Incomplete list item.,unsupported,Incomplete claim,unsupported,Claim is just a fragment.,unsupported
196,p19,p19_c11,"According to the retrieved evidence, **InstructDetector**, which detects potential indirect prompt injection attacks by leveraging behavioral states of LLMs, achieving a detection accuracy of 99.60% .","The integration of Large Language Models (LLMs) with external sources is becoming increasingly common, with Retrieval-Augmented Generation (RAG) being a prominent example. However, this integration introduces vulnerabilities of Indirect Prompt Injection (IPI) attacks, where hidden instructions embedded in external data can manipulate LLMs into executing unintended or harmful actions. We recognize that IPI attacks fundamentally rely on the presence of instructions embedded within external content, which can alter the behavioral states of LLMs. Can the effective detection of such state changes help us defend against IPI attacks? In this paper, we propose InstructDetector, a novel detection-based approach that leverages the behavioral states of LLMs to identify potential IPI attacks. Specifically, we demonstrate the hidden states and gradients from intermediate layers provide highly discrim … [truncated]",unsupported,Specific number/example not shown in snippet.,unsupported,Specific statistic not in snippet,unsupported,Specific number/detail is not stated in evidence.,unsupported
197,p19,p19_c12,Some sources indicate that **Source**: The Task Shield: Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents.,"The integration of Large Language Models (LLMs) with external sources is becoming increasingly common, with Retrieval-Augmented Generation (RAG) being a prominent example. However, this integration introduces vulnerabilities of Indirect Prompt Injection (IPI) attacks, where hidden instructions embedded in external data can manipulate LLMs into executing unintended or harmful actions. We recognize that IPI attacks fundamentally rely on the presence of instructions embedded within external content, which can alter the behavioral states of LLMs. Can the effective detection of such state changes help us defend against IPI attacks? In this paper, we propose InstructDetector, a novel detection-based approach that leverages the behavioral states of LLMs to identify potential IPI attacks. Specifically, we demonstrate the hidden states and gradients from intermediate layers provide highly discrim … [truncated]",unsupported,Source title not explicitly shown in snippet.,unsupported,Title not shown in snippet,unsupported,Evidence does not show this specific source/title.,unsupported
187,p19,p19_c2,"It is suggested that To defend against these attacks, various strategies have been proposed, including: 1.","Large Language Model (LLM) agents are increasingly being deployed as conversational assistants capable of performing complex real-world tasks through tool integration. This enhanced ability to interact with external systems and process various data sources, while powerful, introduces significant security vulnerabilities. In particular, indirect prompt injection attacks pose a critical threat, where malicious instructions embedded within external data sources can manipulate agents to deviate from user intentions. While existing defenses based on rule constraints, source spotlighting, and authentication protocols show promise, they struggle to maintain robust security while preserving task functionality. We propose a novel and orthogonal perspective that reframes agent security from preventing harmful actions to ensuring task alignment, requiring every agent action to serve user objectives … [truncated]",unsupported,Specific number/example not shown in snippet.,unsupported,Evidence too broad or partial,unsupported,Specific number/detail is not stated in evidence.,unsupported
188,p19,p19_c3,"According to the retrieved evidence, **ReasAlign**, which incorporates structured reasoning steps to analyze user queries and detect conflicting instructions, achieving a 94.6% utility with only a 3.6% attack success rate .","Large Language Models (LLMs) have enabled the development of powerful agentic systems capable of automating complex workflows across various fields. However, these systems are highly vulnerable to indirect prompt injection attacks, where malicious instructions embedded in external data can hijack agent behavior. In this work, we present ReasAlign, a model-level solution to improve safety alignment against indirect prompt injection attacks. The core idea of ReasAlign is to incorporate structured reasoning steps to analyze user queries, detect conflicting instructions, and preserve the continuity of the user's intended tasks to defend against indirect injection attacks. To further ensure reasoning logic and accuracy, we introduce a test-time scaling mechanism with a preference-optimized judge model that scores reasoning steps and selects the best trajectory. Comprehensive evaluations acros … [truncated]",unsupported,Specific number/example not shown in snippet.,unsupported,Specific statistic not in snippet,unsupported,Specific number/detail is not stated in evidence.,unsupported
